parametro,ponto_monitoramento,oxigenio_dissolvido,dbo,ecoli,nitrogenio,pH,sdt,temp,turbidez
Turbidez,P1,,,,,,,,5
Turbidez,P1,,,,,,,,5
Turbidez,P1,,,,,,,,5
Turbidez,P1,,,,,,,,5
Turbidez,P1,,,,,,,,5
Turbidez,P1,,,,,,,,6
Turbidez,P1,,,,,,,,6
Turbidez,P1,,,,,,,,6
Turbidez,P1,,,,,,,,7
Turbidez,P1,,,,,,,,7
Turbidez,P1,,,,,,,,8
Turbidez,P1,,,,,,,,9
Turbidez,P1,,,,,,,,13
Turbidez,P1,,,,,,,,13
Temperatura,P1,,,,,,,10.2,
Temperatura,P1,,,,,,,12.7,
Temperatura,P1,,,,,,,16.1,
Temperatura,P1,,,,,,,18.9,
Temperatura,P1,,,,,,,13.6,
Temperatura,P1,,,,,,,14.5,
Temperatura,P1,,,,,,,15.5,
Temperatura,P1,,,,,,,18,
Temperatura,P1,,,,,,,15,
Temperatura,P1,,,,,,,20,
Temperatura,P1,,,,,,,16,
Temperatura,P1,,,,,,,22.8,
Temperatura,P1,,,,,,,11,
Temperatura,P1,,,,,,,22.5,
Temperatura,P1,,,,,,,9,
Temperatura,P1,,,,,,,25.3,
Temperatura,P1,,,,,,,14,
Temperatura,P1,,,,,,,20,
Temperatura,P10,,,,,,,25,
Temperatura,P10,,,,,,,25.6,
Temperatura,P10,,,,,,,26.1,
Temperatura,P10,,,,,,,28.4,
Temperatura,P10,,,,,,,27.2,
Temperatura,P10,,,,,,,27.6,
Temperatura,P10,,,,,,,27.3,
Temperatura,P10,,,,,,,27.4,
Temperatura,P10,,,,,,,27.2,
Temperatura,P10,,,,,,,26.7,
Temperatura,P10,,,,,,,26.5,
Temperatura,P10,,,,,,,28.5,
Temperatura,P10,,,,,,,26,
Temperatura,P10,,,,,,,27.9,
Temperatura,P10,,,,,,,27.8,
Temperatura,P10,,,,,,,28.5,
Temperatura,P10,,,,,,,28,
Temperatura,P10,,,,,,,26.3,
Temperatura,P10,,,,,,,23.8,
Temperatura,P10,,,,,,,21.2,
Temperatura,P10,,,,,,,18.2,
Temperatura,P10,,,,,,,19.6,
Temperatura,P10,,,,,,,28.1,
Temperatura,P10,,,,,,,15.4,
Temperatura,P10,,,,,,,14.9,
Temperatura,P10,,,,,,,23.8,
Temperatura,P10,,,,,,,15.1,
Temperatura,P10,,,,,,,22.4,
Temperatura,P10,,,,,,,30,
Temperatura,P10,,,,,,,16.1,
Temperatura,P10,,,,,,,26.4,
Temperatura,P10,,,,,,,14.6,
Temperatura,P10,,,,,,,13.7,
Temperatura,P10,,,,,,,16.3,
Temperatura,P10,,,,,,,17.8,
Temperatura,P10,,,,,,,29,
Escherichia coli,P10,,,4300,,,,,
Escherichia coli,P10,,,3500,,,,,
Escherichia coli,P10,,,5400,,,,,
Escherichia coli,P10,,,300,,,,,
Escherichia coli,P10,,,7200,,,,,
Escherichia coli,P10,,,5700,,,,,
Escherichia coli,P10,,,6200,,,,,
Escherichia coli,P10,,,8600,,,,,
Escherichia coli,P10,,,600,,,,,
Escherichia coli,P10,,,200,,,,,
Escherichia coli,P10,,,700,,,,,
Escherichia coli,P10,,,4500,,,,,
Escherichia coli,P10,,,2000,,,,,
Escherichia coli,P10,,,110,,,,,
Escherichia coli,P10,,,1900,,,,,
Escherichia coli,P10,,,1300,,,,,
Escherichia coli,P10,,,8100,,,,,
Escherichia coli,P10,,,1700,,,,,
Escherichia coli,P10,,,9800,,,,,
Escherichia coli,P10,,,3260,,,,,
Escherichia coli,P10,,,3260,,,,,
Escherichia coli,P10,,,1100,,,,,
Escherichia coli,P10,,,490,,,,,
Escherichia coli,P10,,,2220,,,,,
Escherichia coli,P10,,,9210,,,,,
Escherichia coli,P10,,,430000,,,,,
Escherichia coli,P10,,,5000,,,,,
Escherichia coli,P10,,,600,,,,,
Escherichia coli,P10,,,2720,,,,,
Escherichia coli,P10,,,560,,,,,
Escherichia coli,P10,,,2300,,,,,
Sólidos Dissolvidos Totais,P10,,,,,,136,,
Sólidos Dissolvidos Totais,P10,,,,,,126,,
Sólidos Dissolvidos Totais,P10,,,,,,102,,
Sólidos Dissolvidos Totais,P10,,,,,,98,,
Sólidos Dissolvidos Totais,P10,,,,,,85,,
Sólidos Dissolvidos Totais,P10,,,,,,162,,
Sólidos Dissolvidos Totais,P10,,,,,,79,,
Sólidos Dissolvidos Totais,P10,,,,,,142,,
Sólidos Dissolvidos Totais,P10,,,,,,101,,
Sólidos Dissolvidos Totais,P10,,,,,,110,,
Sólidos Dissolvidos Totais,P10,,,,,,110,,
Sólidos Dissolvidos Totais,P10,,,,,,116,,
Sólidos Dissolvidos Totais,P10,,,,,,114,,
Sólidos Dissolvidos Totais,P10,,,,,,113,,
Sólidos Dissolvidos Totais,P10,,,,,,142,,
Sólidos Dissolvidos Totais,P10,,,,,,128,,
Sólidos Dissolvidos Totais,P10,,,,,,118,,
Sólidos Dissolvidos Totais,P10,,,,,,86,,
Sólidos Dissolvidos Totais,P10,,,,,,100,,
Sólidos Dissolvidos Totais,P10,,,,,,227,,
Sólidos Dissolvidos Totais,P10,,,,,,66,,
Sólidos Dissolvidos Totais,P10,,,,,,73,,
Sólidos Dissolvidos Totais,P10,,,,,,66,,
Sólidos Dissolvidos Totais,P10,,,,,,101,,
Sólidos Dissolvidos Totais,P10,,,,,,151,,
Sólidos Dissolvidos Totais,P10,,,,,,108,,
Sólidos Dissolvidos Totais,P10,,,,,,123,,
Sólidos Dissolvidos Totais,P10,,,,,,103,,
Sólidos Dissolvidos Totais,P10,,,,,,107,,
Sólidos Dissolvidos Totais,P10,,,,,,115,,
Sólidos Dissolvidos Totais,P10,,,,,,136,,
Sólidos Dissolvidos Totais,P10,,,,,,88,,
Sólidos Dissolvidos Totais,P10,,,,,,123,,
Sólidos Dissolvidos Totais,P10,,,,,,64,,
Sólidos Dissolvidos Totais,P10,,,,,,80,,
Sólidos Dissolvidos Totais,P10,,,,,,152,,
Sólidos Dissolvidos Totais,P10,,,,,,130,,
Sólidos Dissolvidos Totais,P10,,,,,,63,,
Nitrogênio amoniacal,P10,,,,0.02,,,,
Nitrogênio amoniacal,P10,,,,1.81,,,,
Nitrogênio amoniacal,P10,,,,0.587,,,,
Nitrogênio amoniacal,P10,,,,0.864,,,,
Nitrogênio amoniacal,P10,,,,3,,,,
Nitrogênio amoniacal,P10,,,,0.28,,,,
Nitrogênio amoniacal,P10,,,,1.02,,,,
Nitrogênio amoniacal,P10,,,,0.32,,,,
Nitrogênio amoniacal,P10,,,,2.21,,,,
Nitrogênio amoniacal,P10,,,,1.93,,,,
Nitrogênio amoniacal,P10,,,,0.352,,,,
Nitrogênio amoniacal,P10,,,,0.061,,,,
Nitrogênio amoniacal,P10,,,,0.171,,,,
Nitrogênio amoniacal,P10,,,,0.655,,,,
Nitrogênio amoniacal,P10,,,,0.367,,,,
Nitrogênio amoniacal,P10,,,,0.653,,,,
Nitrogênio amoniacal,P10,,,,0.159,,,,
Nitrogênio amoniacal,P10,,,,1.52,,,,
Nitrogênio amoniacal,P10,,,,1.77,,,,
Nitrogênio amoniacal,P10,,,,0.64,,,,
Nitrogênio amoniacal,P10,,,,0.41,,,,
Nitrogênio amoniacal,P10,,,,0.15,,,,
Nitrogênio amoniacal,P10,,,,0.23,,,,
Nitrogênio amoniacal,P10,,,,0.24,,,,
Nitrogênio amoniacal,P10,,,,2.6,,,,
Nitrogênio amoniacal,P10,,,,0.51,,,,
Nitrogênio amoniacal,P10,,,,4.23,,,,
Nitrogênio amoniacal,P10,,,,0.49,,,,
Nitrogênio amoniacal,P10,,,,0.5,,,,
Nitrogênio amoniacal,P10,,,,2.2,,,,
Nitrogênio amoniacal,P10,,,,1,,,,
Nitrogênio amoniacal,P10,,,,1.2,,,,
Nitrogênio amoniacal,P10,,,,1.3,,,,
Nitrogênio amoniacal,P10,,,,0.2,,,,
Nitrogênio amoniacal,P10,,,,0.434,,,,
Temperatura,P10,,,,,,,19.1,
Demanda Bioquímica de Oxigênio,P10,,1,,,,,,
Demanda Bioquímica de Oxigênio,P10,,1,,,,,,
Demanda Bioquímica de Oxigênio,P10,,1,,,,,,
Demanda Bioquímica de Oxigênio,P10,,1,,,,,,
Demanda Bioquímica de Oxigênio,P10,,1,,,,,,
Demanda Bioquímica de Oxigênio,P10,,1,,,,,,
Demanda Bioquímica de Oxigênio,P10,,1,,,,,,
Demanda Bioquímica de Oxigênio,P10,,1,,,,,,
Demanda Bioquímica de Oxigênio,P10,,1,,,,,,
Demanda Bioquímica de Oxigênio,P10,,1,,,,,,
Demanda Bioquímica de Oxigênio,P10,,1,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,2,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,5,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3.1,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,4,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,4,,,,,,
Demanda Bioquímica de Oxigênio,P10,,5,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,4,,,,,,
Demanda Bioquímica de Oxigênio,P10,,9,,,,,,
Demanda Bioquímica de Oxigênio,P10,,13,,,,,,
Demanda Bioquímica de Oxigênio,P10,,14,,,,,,
Demanda Bioquímica de Oxigênio,P10,,4,,,,,,
Demanda Bioquímica de Oxigênio,P10,,5,,,,,,
Demanda Bioquímica de Oxigênio,P10,,4,,,,,,
Demanda Bioquímica de Oxigênio,P10,,7,,,,,,
Demanda Bioquímica de Oxigênio,P10,,4,,,,,,
Demanda Bioquímica de Oxigênio,P10,,13,,,,,,
Demanda Bioquímica de Oxigênio,P10,,4,,,,,,
Demanda Bioquímica de Oxigênio,P10,,14,,,,,,
Demanda Bioquímica de Oxigênio,P10,,4,,,,,,
Demanda Bioquímica de Oxigênio,P10,,5,,,,,,
Demanda Bioquímica de Oxigênio,P10,,9,,,,,,
Demanda Bioquímica de Oxigênio,P10,,5,,,,,,
Demanda Bioquímica de Oxigênio,P10,,5,,,,,,
Demanda Bioquímica de Oxigênio,P10,,11,,,,,,
Demanda Bioquímica de Oxigênio,P10,,6,,,,,,
Demanda Bioquímica de Oxigênio,P10,,5,,,,,,
Demanda Bioquímica de Oxigênio,P10,,3,,,,,,
Demanda Bioquímica de Oxigênio,P10,,6,,,,,,
Demanda Bioquímica de Oxigênio,P10,,5,,,,,,
Demanda Bioquímica de Oxigênio,P10,,5,,,,,,
Demanda Bioquímica de Oxigênio,P10,,13,,,,,,
pH,P10,,,,,6.4,,,
pH,P10,,,,,7,,,
pH,P10,,,,,6.1,,,
pH,P10,,,,,7,,,
pH,P10,,,,,7,,,
pH,P10,,,,,6.8,,,
pH,P10,,,,,6.5,,,
pH,P10,,,,,6.3,,,
pH,P10,,,,,6.6,,,
pH,P10,,,,,6.5,,,
pH,P10,,,,,6,,,
pH,P10,,,,,6.6,,,
pH,P10,,,,,6.5,,,
pH,P10,,,,,6.4,,,
pH,P10,,,,,6.4,,,
pH,P10,,,,,6.6,,,
pH,P10,,,,,7.2,,,
pH,P10,,,,,7.2,,,
pH,P10,,,,,6.4,,,
pH,P10,,,,,6.6,,,
pH,P10,,,,,6.6,,,
pH,P10,,,,,6.8,,,
pH,P10,,,,,6.5,,,
pH,P10,,,,,7.2,,,
pH,P10,,,,,6.9,,,
pH,P10,,,,,7,,,
pH,P10,,,,,6.6,,,
pH,P10,,,,,6.5,,,
pH,P10,,,,,6.3,,,
pH,P10,,,,,6.7,,,
pH,P10,,,,,6.8,,,
pH,P10,,,,,6.9,,,
pH,P10,,,,,6.8,,,
pH,P10,,,,,6.7,,,
pH,P10,,,,,6.8,,,
pH,P10,,,,,6.8,,,
pH,P10,,,,,6.7,,,
pH,P10,,,,,6.8,,,
pH,P10,,,,,6.8,,,
pH,P10,,,,,6.7,,,
pH,P10,,,,,6.9,,,
pH,P10,,,,,6.8,,,
pH,P10,,,,,6.7,,,
pH,P10,,,,,6.7,,,
pH,P10,,,,,6.8,,,
pH,P10,,,,,6.9,,,
pH,P10,,,,,6.7,,,
pH,P10,,,,,6.5,,,
pH,P10,,,,,6.5,,,
pH,P10,,,,,6.4,,,
pH,P10,,,,,6.5,,,
pH,P10,,,,,6.6,,,
pH,P10,,,,,6.6,,,
pH,P10,,,,,6.8,,,
pH,P10,,,,,6.6,,,
pH,P10,,,,,6.7,,,
pH,P10,,,,,6.7,,,
pH,P10,,,,,6.8,,,
pH,P10,,,,,6.5,,,
pH,P10,,,,,7,,,
pH,P10,,,,,6.5,,,
pH,P10,,,,,6.4,,,
pH,P10,,,,,6.6,,,
pH,P10,,,,,7,,,
Oxigênio Dissolvido,P10,7.9,,,,,,,
Oxigênio Dissolvido,P10,3.1,,,,,,,
Oxigênio Dissolvido,P10,3.6,,,,,,,
Oxigênio Dissolvido,P10,6.4,,,,,,,
Oxigênio Dissolvido,P10,5,,,,,,,
Oxigênio Dissolvido,P10,5.9,,,,,,,
Oxigênio Dissolvido,P10,5.1,,,,,,,
Oxigênio Dissolvido,P10,0.9,,,,,,,
Oxigênio Dissolvido,P10,3.8,,,,,,,
Oxigênio Dissolvido,P10,1.4,,,,,,,
Oxigênio Dissolvido,P10,4.7,,,,,,,
Oxigênio Dissolvido,P10,6.7,,,,,,,
Oxigênio Dissolvido,P10,3.1,,,,,,,
Oxigênio Dissolvido,P10,1.7,,,,,,,
Oxigênio Dissolvido,P10,3.2,,,,,,,
Oxigênio Dissolvido,P10,2.9,,,,,,,
Oxigênio Dissolvido,P10,5,,,,,,,
Oxigênio Dissolvido,P10,3.9,,,,,,,
Oxigênio Dissolvido,P10,2.8,,,,,,,
Oxigênio Dissolvido,P10,2.3,,,,,,,
Oxigênio Dissolvido,P10,3.9,,,,,,,
Oxigênio Dissolvido,P10,1.9,,,,,,,
Oxigênio Dissolvido,P10,4.2,,,,,,,
Oxigênio Dissolvido,P10,4.5,,,,,,,
Oxigênio Dissolvido,P10,1.5,,,,,,,
Oxigênio Dissolvido,P10,2.3,,,,,,,
Oxigênio Dissolvido,P10,4,,,,,,,
Oxigênio Dissolvido,P10,3.9,,,,,,,
Oxigênio Dissolvido,P10,2.3,,,,,,,
Oxigênio Dissolvido,P10,4,,,,,,,
Oxigênio Dissolvido,P10,3.8,,,,,,,
Oxigênio Dissolvido,P10,3.8,,,,,,,
Oxigênio Dissolvido,P10,5.7,,,,,,,
Oxigênio Dissolvido,P10,3.6,,,,,,,
Oxigênio Dissolvido,P10,2.6,,,,,,,
Oxigênio Dissolvido,P10,2.1,,,,,,,
Oxigênio Dissolvido,P10,1.5,,,,,,,
Oxigênio Dissolvido,P10,0.5,,,,,,,
Oxigênio Dissolvido,P10,3.5,,,,,,,
Oxigênio Dissolvido,P10,3.1,,,,,,,
